atm_count,restaurant_count,pub_count,shop_count,bus_stop_count,train_station_count,subway_station_count,park_count,burglary_density_per_km2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.1801801207866
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.9935524114707
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.04142776625335
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.6191229209886
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.1516715491748
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.7220658980777
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.0520452776876
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.2445872603725
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,261.9114214530116
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.6021254448144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.8718993989898
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.32045199457127
0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,196.3406065311359
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,405.7342553839329
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.3540989738686
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.2426601880481
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.8365326606948
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,405.02980634048527
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.7057740188642
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.49371058825906
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.19622214305775
0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,449.2376156139279
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,379.0179412067289
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.7031938255306
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.38749991049224
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.90131529918182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.8977575368917
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.3663615607722
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.312069368496
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.5389648916967
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.89929613763826
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,340.1529158973727
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.7271886799485
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,126.08331428465902
0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,488.22546828036667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.7672495825317
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,228.09522412856623
2.0,2.0,0.0,4.0,4.0,1.0,1.0,0.0,763.4023321217595
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.1660115118099
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.610856733082
1.0,4.0,0.0,2.0,3.0,1.0,0.0,0.0,568.7408839381519
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.71769517609368
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.7102895041452
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0068710503586
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,421.2367679761284
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.8467605050999
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,409.33450912308837
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.8947192648958
0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,503.6364226224192
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,245.55573392721683
